date,observed,trend,seasonal,residual
2013-03-06,6.1,12.256575342465753,-3.8172359417026334,-2.3393394007631203
2013-03-07,8.6,12.253561643835615,-2.3967793206980668,-1.256782323137549
2013-03-08,6.949999999999999,12.246849315068491,-3.689975667730029,-1.606873647338463
2013-03-09,6.95,12.239999999999997,-3.251573841246011,-2.0384261587539854
2013-03-10,5.85,12.243835616438355,-4.717235941702633,-1.6765996747357228
2013-03-11,8.35,12.253698630136986,-2.969747357227747,-0.9339512729092396
2013-03-12,11.4,12.267397260273972,-1.2065966722962411,0.33919941202226944
2013-03-13,10.55,12.296301369863015,-1.9460030649903057,0.19970169512729186
2013-03-14,10.55,12.307808219178083,-1.6000669919309451,-0.15774122724713746
2013-03-15,11.65,12.300958904109589,-2.5972816038030904,1.9463226996935021
2013-03-16,7.5,12.30109589041096,-4.442761055857885,-0.3583348345530739
2013-03-17,6.4,12.301095890410961,-5.556916306999438,-0.3441795834115231
2013-03-18,7.8,12.305068493150687,-4.155181147182088,-0.3498873459685994
2013-03-19,7.25,12.294383561643837,-3.968012197410397,-1.0763713642334403
2013-03-20,7.75,12.287397260273973,-4.248012197410397,-0.2893850628635768
2013-03-21,6.1,12.287397260273975,-4.8979665353099415,-1.289430724964034
2013-03-22,5.0,12.297260273972606,-6.100523612935512,-1.196736661037094
2013-03-23,5.55,12.304794520547949,-5.2666423343967,-1.4881521861512494
2013-03-24,6.4,12.303972602739728,-3.8646332019766065,-2.0393394007631214
2013-03-25,10.55,12.300958904109592,-2.2144048914743233,0.46344598736473186
2013-03-26,11.4,12.296438356164387,-1.0820761243510357,0.185637768186649
2013-03-27,10.25,12.289589041095892,-1.664450553574781,-0.37513848752111123
2013-03-28,12.2,12.283561643835618,-1.3808889097391652,1.2973272659035462
2013-03-29,13.05,12.272191780821919,-1.1773272659035476,1.9551354850816298
2013-03-30,12.8,12.260136986301369,-1.0742679051729527,1.6141309188715847
2013-03-31,13.65,12.250136986301369,-2.0899300056295735,3.489793019328205
2013-04-01,12.75,12.243287671232876,-1.9229893663601683,2.4297016951272923
2013-04-02,11.4,12.231095890410959,-2.472213110652406,1.6411172202414472
2013-04-03,12.25,12.223424657534245,-2.754541877775694,2.7811172202414487
2013-04-04,12.2,12.218767123287671,-2.7562770375930463,2.7375099143053743
2013-04-05,11.95,12.213561643835616,-2.2755007818852833,2.0119391380496663
2013-04-06,9.7,12.21041095890411,-2.3931263526615383,-0.11728460624257186
